p_chamb,t_chamb,rho_throat,gam_throat,son_throat
3.4474E-01,2.7881E+03,1.9505E-02,1.1084E+00,1.0686E+03
6.8947E-01,2.8567E+03,3.8337E-02,1.1123E+00,1.0791E+03
1.0342E+00,2.8971E+03,5.6933E-02,1.1147E+00,1.0852E+03
1.3789E+00,2.9260E+03,7.5380E-02,1.1165E+00,1.0896E+03
1.7237E+00,2.9484E+03,9.3720E-02,1.1179E+00,1.0929E+03
2.0684E+00,2.9667E+03,1.1198E-01,1.1191E+00,1.0956E+03
2.4132E+00,2.9821E+03,1.3016E-01,1.1201E+00,1.0979E+03
2.7579E+00,2.9955E+03,1.4829E-01,1.1211E+00,1.0999E+03
3.1026E+00,3.0073E+03,1.6637E-01,1.1219E+00,1.1017E+03
3.4474E+00,3.0179E+03,1.8441E-01,1.1226E+00,1.1032E+03
3.7921E+00,3.0274E+03,2.0241E-01,1.1233E+00,1.1046E+03
4.1368E+00,3.0361E+03,2.2037E-01,1.1239E+00,1.1059E+03
4.4816E+00,3.0441E+03,2.3830E-01,1.1245E+00,1.1071E+03
4.8263E+00,3.0515E+03,2.5620E-01,1.1251E+00,1.1082E+03
5.1710E+00,3.0584E+03,2.7407E-01,1.1256E+00,1.1092E+03
5.5158E+00,3.0648E+03,2.9192E-01,1.1261E+00,1.1101E+03
5.8605E+00,3.0708E+03,3.0975E-01,1.1265E+00,1.1110E+03
6.2053E+00,3.0764E+03,3.2755E-01,1.1270E+00,1.1119E+03
6.5500E+00,3.0818E+03,3.4534E-01,1.1274E+00,1.1126E+03
6.8947E+00,3.0869E+03,3.6310E-01,1.1278E+00,1.1134E+03
7.2395E+00,3.0917E+03,3.8085E-01,1.1282E+00,1.1141E+03
7.5842E+00,3.0962E+03,3.9858E-01,1.1285E+00,1.1148E+03
7.9289E+00,3.1006E+03,4.1630E-01,1.1289E+00,1.1154E+03
8.2737E+00,3.1048E+03,4.3400E-01,1.1292E+00,1.1160E+03
8.6184E+00,3.1088E+03,4.5168E-01,1.1295E+00,1.1166E+03
8.9631E+00,3.1126E+03,4.6935E-01,1.1298E+00,1.1172E+03
9.3079E+00,3.1163E+03,4.8701E-01,1.1302E+00,1.1177E+03
9.6526E+00,3.1199E+03,5.0465E-01,1.1304E+00,1.1182E+03
9.9974E+00,3.1233E+03,5.2229E-01,1.1307E+00,1.1187E+03
1.0342E+01,3.1266E+03,5.3991E-01,1.1310E+00,1.1192E+03
1.0687E+01,3.1298E+03,5.5752E-01,1.1313E+00,1.1197E+03
1.1032E+01,3.1329E+03,5.7512E-01,1.1315E+00,1.1201E+03
1.1376E+01,3.1358E+03,5.9271E-01,1.1318E+00,1.1206E+03
1.1721E+01,3.1387E+03,6.1028E-01,1.1320E+00,1.1210E+03
1.2066E+01,3.1415E+03,6.2785E-01,1.1323E+00,1.1214E+03
1.2411E+01,3.1443E+03,6.4541E-01,1.1325E+00,1.1218E+03
1.2755E+01,3.1469E+03,6.6296E-01,1.1327E+00,1.1222E+03
1.3100E+01,3.1495E+03,6.8050E-01,1.1330E+00,1.1226E+03
1.3445E+01,3.1520E+03,6.9804E-01,1.1332E+00,1.1229E+03
1.3789E+01,3.1544E+03,7.1556E-01,1.1334E+00,1.1233E+03
1.4134E+01,3.1568E+03,7.3308E-01,1.1336E+00,1.1237E+03
1.4479E+01,3.1591E+03,7.5058E-01,1.1338E+00,1.1240E+03
1.4824E+01,3.1613E+03,7.6808E-01,1.1340E+00,1.1243E+03
1.5168E+01,3.1635E+03,7.8558E-01,1.1342E+00,1.1246E+03
1.5513E+01,3.1657E+03,8.0306E-01,1.1344E+00,1.1250E+03
1.5858E+01,3.1678E+03,8.2054E-01,1.1346E+00,1.1253E+03
1.6203E+01,3.1698E+03,8.3802E-01,1.1348E+00,1.1256E+03
1.6547E+01,3.1718E+03,8.5548E-01,1.1350E+00,1.1259E+03
1.6892E+01,3.1738E+03,8.7294E-01,1.1351E+00,1.1261E+03
1.7237E+01,3.1757E+03,8.9039E-01,1.1353E+00,1.1264E+03
1.7582E+01,3.1775E+03,9.0784E-01,1.1355E+00,1.1267E+03
1.7926E+01,3.1794E+03,9.2528E-01,1.1357E+00,1.1270E+03
1.8271E+01,3.1812E+03,9.4271E-01,1.1358E+00,1.1272E+03
1.8616E+01,3.1829E+03,9.6014E-01,1.1360E+00,1.1275E+03
1.8961E+01,3.1847E+03,9.7756E-01,1.1362E+00,1.1277E+03
1.9305E+01,3.1864E+03,9.9498E-01,1.1363E+00,1.1280E+03
1.9650E+01,3.1880E+03,1.0124E+00,1.1365E+00,1.1282E+03
1.9995E+01,3.1897E+03,1.0298E+00,1.1366E+00,1.1285E+03
2.0339E+01,3.1913E+03,1.0472E+00,1.1368E+00,1.1287E+03
2.0684E+01,3.1928E+03,1.0646E+00,1.1369E+00,1.1289E+03
2.1029E+01,3.1944E+03,1.0820E+00,1.1371E+00,1.1292E+03
2.1374E+01,3.1959E+03,1.0994E+00,1.1372E+00,1.1294E+03
2.1718E+01,3.1974E+03,1.1168E+00,1.1374E+00,1.1296E+03
2.2063E+01,3.1989E+03,1.1341E+00,1.1375E+00,1.1298E+03
2.2408E+01,3.2003E+03,1.1515E+00,1.1376E+00,1.1300E+03
2.2753E+01,3.2017E+03,1.1689E+00,1.1378E+00,1.1302E+03
2.3097E+01,3.2031E+03,1.1862E+00,1.1379E+00,1.1305E+03
2.3442E+01,3.2045E+03,1.2036E+00,1.1380E+00,1.1307E+03
2.3787E+01,3.2059E+03,1.2209E+00,1.1382E+00,1.1309E+03
2.4132E+01,3.2072E+03,1.2383E+00,1.1383E+00,1.1310E+03
2.4476E+01,3.2085E+03,1.2556E+00,1.1384E+00,1.1312E+03
2.4821E+01,3.2098E+03,1.2730E+00,1.1386E+00,1.1314E+03
2.5166E+01,3.2111E+03,1.2903E+00,1.1387E+00,1.1316E+03
2.5511E+01,3.2123E+03,1.3077E+00,1.1388E+00,1.1318E+03
2.5855E+01,3.2136E+03,1.3250E+00,1.1389E+00,1.1320E+03
2.6200E+01,3.2148E+03,1.3423E+00,1.1390E+00,1.1322E+03
2.6545E+01,3.2160E+03,1.3596E+00,1.1392E+00,1.1323E+03
2.6889E+01,3.2172E+03,1.3770E+00,1.1393E+00,1.1325E+03
2.7234E+01,3.2184E+03,1.3943E+00,1.1394E+00,1.1327E+03
2.7579E+01,3.2195E+03,1.4116E+00,1.1395E+00,1.1329E+03
2.7924E+01,3.2206E+03,1.4289E+00,1.1396E+00,1.1330E+03
2.8268E+01,3.2218E+03,1.4462E+00,1.1397E+00,1.1332E+03
2.8613E+01,3.2229E+03,1.4635E+00,1.1399E+00,1.1333E+03
2.8958E+01,3.2240E+03,1.4808E+00,1.1400E+00,1.1335E+03
2.9303E+01,3.2250E+03,1.4981E+00,1.1401E+00,1.1337E+03
2.9647E+01,3.2261E+03,1.5154E+00,1.1402E+00,1.1338E+03
2.9992E+01,3.2272E+03,1.5327E+00,1.1403E+00,1.1340E+03
