gpm,psi_drop_per_100_ft
0.14462809917355376, 0.11216288165386341
0.16528925619834714, 0.12558279253900134
0.18181818181818138, 0.13850548848142544
0.20247933884297478, 0.15982187503893477
0.24380165289256156, 0.18303468433866713
0.264462809917355, 0.2064840154818275
0.30578512396694174, 0.23469916538816635
0.34710743801652855, 0.26080772905282895
0.3719008264462811, 0.2876453149500935
0.4132231404958679, 0.31724453685948384
0.4421487603305786, 0.6739080886193513
0.5289256198347104, 1.0046623403120096
0.462809917355372, 0.7717876807769147
0.4917355371900823, 0.9109263729434874
0.566115702479339, 1.1333737918609896
0.6074380165289258, 1.3078032251371938
0.6487603305785126, 1.4315521912604072
0.6942148760330575, 1.5908018906063501
0.7314049586776862, 1.7152868183529202
0.7644628099173556, 1.8218527458869753
0.8140495867768597, 2.0093246806240206
0.8677685950413225, 2.1994540877502273
0.9049586776859502, 2.371567840450838
0.9504132231404961, 2.5000000000000004
1.008264462809917, 2.6956323544774046
1.0743801652892564, 2.9285549494186727
1.1652892561983474, 3.353903404053448
1.2520661157024793, 3.755186646210662
1.3305785123966944, 4.1105156866475445
1.3801652892561982, 4.333120495792069
1.4586776859504131, 4.779006413097312
1.5578512396694213, 5.350798428758846
1.6239669421487601, 5.8571098988373445
1.7066115702479339, 6.411330350752132
1.7933884297520661, 6.965316765050235
1.896694214876033, 7.798693448097606
1.9917355371900827, 8.536633401726878
2.041322314049587, 9.066990334887912
2.128099173553719, 9.924941025194427
2.2231404958677685, 10.782529417909615
2.31404958677686, 11.802810483143606
2.4132231404958677, 12.919634150927433
2.512396694214876, 14.035986203583088